Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:42:02

Name:	Aluminium tensile test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0191	0.0993	Inf	Inf
0.0298	0.2859	Inf	Inf
0.0534	0.6096	Inf	Inf
0.0824	1.0274	Inf	Inf
0.0901	1.1836	Inf	Inf
0.1030	1.3571	Inf	Inf
0.1076	1.4572	Inf	Inf
0.1229	1.7150	Inf	Inf
0.1290	2.1638	Inf	Inf
0.1519	2.5430	Inf	Inf
0.1717	2.9447	Inf	Inf
0.1924	3.3194	Inf	Inf
0.1939	3.4224	Inf	Inf
0.2229	3.7278	Inf	Inf
0.2969	3.9732	Inf	Inf
0.3351	4.0729	Inf	Inf
0.3733	4.1733	Inf	Inf
0.4191	4.3074	Inf	Inf
0.4755	4.4341	Inf	Inf
0.5114	4.5311	Inf	Inf
0.5763	4.6293	Inf	Inf
0.6259	4.7290	Inf	Inf
0.6839	4.8286	Inf	Inf
0.7358	4.9291	Inf	Inf
0.8061	5.0310	Inf	Inf
0.8793	5.1318	Inf	Inf
0.9007	5.2326	Inf	Inf
1.0007	5.2876	Inf	Inf
1.0870	5.3873	Inf	Inf
1.1870	5.4585	Inf	Inf
1.1976	5.5612	Inf	Inf
1.2984	5.5672	Inf	Inf
1.3976	5.6683	Inf	Inf
1.4976	5.6844	Inf	Inf
1.5312	5.7834	Inf	Inf
1.6304	5.8017	Inf	Inf
1.7304	5.8111	Inf	Inf
1.8304	5.8789	Inf	Inf
1.9312	5.9216	Inf	Inf
2.0319	5.9437	Inf	Inf
2.1319	5.9782	Inf	Inf
2.1854	5.8763	Inf	Inf
2.1999	5.9782	Inf	Inf
2.3006	6.0614	Inf	Inf
2.4014	6.0546	Inf	Inf
2.5006	6.0100	Inf	Inf
2.6014	6.0438	Inf	Inf
2.7021	6.0966	Inf	Inf
2.8021	6.0602	Inf	Inf
2.9021	6.1513	Inf	Inf
3.0021	6.1303	Inf	Inf
3.1029	6.1232	Inf	Inf
3.1632	6.0217	Inf	Inf
3.1700	6.1195	Inf	Inf
3.2700	6.1416	Inf	Inf
3.3700	6.1569	Inf	Inf
3.4700	6.1468	Inf	Inf
3.5288	6.0453	Inf	Inf
3.5318	6.1461	Inf	Inf
3.6311	6.1532	Inf	Inf
3.7318	6.1333	Inf	Inf
3.8311	6.1318	Inf	Inf
3.8692	6.0303	Inf	Inf
3.8730	6.1322	Inf	Inf
3.9730	6.1393	Inf	Inf
4.0730	6.1423	Inf	Inf
4.1730	6.1303	Inf	Inf
4.1860	6.0277	Inf	Inf
4.1975	6.1307	Inf	Inf
4.2967	6.1434	Inf	Inf
4.3974	6.1120	Inf	Inf
4.4982	6.1022	Inf	Inf
4.5990	6.0573	Inf	Inf
4.6997	6.0674	Inf	Inf
4.7989	6.0157	Inf	Inf
4.8989	5.9928	Inf	Inf
4.9921	5.8909	Inf	Inf
5.0921	5.8894	Inf	Inf
5.1920	5.8302	Inf	Inf
5.2920	5.7811	Inf	Inf
5.3783	5.6777	Inf	Inf
5.4783	5.6545	Inf	Inf
5.5783	5.5803	Inf	Inf
5.6790	5.4817	Inf	Inf
5.7798	5.3903	Inf	Inf
5.8080	5.2876	Inf	Inf
5.9080	5.2700	Inf	Inf
5.9943	5.1670	Inf	Inf
6.0798	5.0647	Inf	Inf
6.1477	4.9613	Inf	Inf
6.2599	4.6372	Inf	Inf
6.3393	4.4847	Inf	Inf
6.4279	4.3326	Inf	Inf
6.5217	4.1804	Inf	Inf
6.6118	4.0264	Inf	Inf
Data End	

