Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:58:16

Name:	Parallel Block
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0992	0.0049	Inf	Inf
0.1992	0.0101	Inf	Inf
0.3007	0.0082	Inf	Inf
0.4015	0.0026	Inf	Inf
0.5007	0.0011	Inf	Inf
0.5992	0.0056	Inf	Inf
0.6992	0.0030	Inf	Inf
0.8000	0.0060	Inf	Inf
0.8999	0.0097	Inf	Inf
1.0007	0.0067	Inf	Inf
1.0999	0.0011	Inf	Inf
1.2007	0.0034	Inf	Inf
1.2999	0.0041	Inf	Inf
1.4007	0.0011	Inf	Inf
1.5007	0.0019	Inf	Inf
1.6007	0.0034	Inf	Inf
1.7022	0.0064	Inf	Inf
1.8022	0.0112	Inf	Inf
1.9022	0.0049	Inf	Inf
2.0022	0.0007	Inf	Inf
2.1029	0.0082	Inf	Inf
2.2037	0.0056	Inf	Inf
2.3037	0.0037	Inf	Inf
2.4052	0.0004	Inf	Inf
2.5060	0.0071	Inf	Inf
2.6067	0.0169	Inf	Inf
2.6777	0.1169	Inf	Inf
2.7296	0.2177	Inf	Inf
2.7731	0.3170	Inf	Inf
2.8143	0.4519	Inf	Inf
2.8349	0.5545	Inf	Inf
2.8754	0.6550	Inf	Inf
2.9128	0.7546	Inf	Inf
2.9769	0.9824	Inf	Inf
2.9975	1.0817	Inf	Inf
3.0800	1.3249	Inf	Inf
3.1120	1.4257	Inf	Inf
3.1571	1.5419	Inf	Inf
3.1884	1.6603	Inf	Inf
3.2586	1.8247	Inf	Inf
3.3029	1.9240	Inf	Inf
3.4028	1.9881	Inf	Inf
3.4906	2.0874	Inf	Inf
3.5906	2.1208	Inf	Inf
3.6906	2.1743	Inf	Inf
3.7898	2.2283	Inf	Inf
3.8906	2.2069	Inf	Inf
3.9914	2.2189	Inf	Inf
4.0921	2.1470	Inf	Inf
4.1501	2.2463	Inf	Inf
4.2509	2.2931	Inf	Inf
4.3509	2.2961	Inf	Inf
4.4501	2.2950	Inf	Inf
4.5501	2.3070	Inf	Inf
4.6516	2.2886	Inf	Inf
4.7516	2.2718	Inf	Inf
4.8524	2.3103	Inf	Inf
4.9424	2.2081	Inf	Inf
5.0417	2.2714	Inf	Inf
5.0646	2.1710	Inf	Inf
5.1272	2.2718	Inf	Inf
5.2272	2.3126	Inf	Inf
5.3279	2.3658	Inf	Inf
5.4271	2.3684	Inf	Inf
5.5287	2.3186	Inf	Inf
5.6279	2.2369	Inf	Inf
5.7271	2.2384	Inf	Inf
5.7859	2.1342	Inf	Inf
5.7966	2.0327	Inf	Inf
5.8485	2.1324	Inf	Inf
5.8981	2.2605	Inf	Inf
5.9981	2.3321	Inf	Inf
6.0981	2.3235	Inf	Inf
6.1966	2.3148	Inf	Inf
6.2973	2.2942	Inf	Inf
6.3981	2.2433	Inf	Inf
6.4981	2.1676	Inf	Inf
6.5988	2.1710	Inf	Inf
6.6881	2.0690	Inf	Inf
6.7622	2.1691	Inf	Inf
6.8019	2.2654	Inf	Inf
6.8889	2.3647	Inf	Inf
6.9904	2.2984	Inf	Inf
7.0912	2.2092	Inf	Inf
7.1919	2.1402	Inf	Inf
7.2614	2.0379	Inf	Inf
7.3225	2.1361	Inf	Inf
7.3614	2.2373	Inf	Inf
7.4606	2.3100	Inf	Inf
7.5614	2.3868	Inf	Inf
7.6614	2.3403	Inf	Inf
7.7629	2.3152	Inf	Inf
7.8629	2.2882	Inf	Inf
7.9636	2.3486	Inf	Inf
8.0636	2.3474	Inf	Inf
8.1636	2.3452	Inf	Inf
8.2232	2.2444	Inf	Inf
8.2506	2.1432	Inf	Inf
8.2972	2.2433	Inf	Inf
8.3277	2.3429	Inf	Inf
8.4224	2.4430	Inf	Inf
8.5109	2.5427	Inf	Inf
8.6102	2.5797	Inf	Inf
