Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 15:01:49

Name:	Perpendicular Test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.1000	0.0577	Inf	Inf
0.1679	0.1581	Inf	Inf
0.2015	0.2627	Inf	Inf
0.2374	0.3784	Inf	Inf
0.3046	0.6782	Inf	Inf
0.3336	0.8663	Inf	Inf
0.4076	1.4085	Inf	Inf
0.4320	1.5651	Inf	Inf
0.4794	1.8431	Inf	Inf
0.4939	1.9424	Inf	Inf
0.4992	2.0934	Inf	Inf
0.5809	2.2688	Inf	Inf
0.6542	2.3692	Inf	Inf
0.7274	2.2628	Inf	Inf
0.7557	2.1578	Inf	Inf
0.7801	2.2579	Inf	Inf
0.8801	2.3283	Inf	Inf
0.9801	2.3291	Inf	Inf
1.0801	2.3193	Inf	Inf
1.1801	2.3579	Inf	Inf
1.2801	2.3310	Inf	Inf
1.3801	2.3725	Inf	Inf
1.4801	2.3782	Inf	Inf
1.5801	2.3325	Inf	Inf
1.6793	2.4025	Inf	Inf
1.7800	2.3793	Inf	Inf
1.8800	2.4254	Inf	Inf
1.9793	2.4108	Inf	Inf
2.0785	2.4688	Inf	Inf
2.1777	2.5220	Inf	Inf
2.2777	2.5239	Inf	Inf
2.3792	2.5445	Inf	Inf
2.4785	2.5827	Inf	Inf
2.5785	2.5430	Inf	Inf
2.6533	2.6431	Inf	Inf
2.7533	2.5951	Inf	Inf
2.7899	2.6944	Inf	Inf
2.8899	2.7592	Inf	Inf
2.9899	2.7544	Inf	Inf
3.0899	2.7352	Inf	Inf
3.1464	2.8342	Inf	Inf
3.2464	2.8136	Inf	Inf
3.3479	2.8087	Inf	Inf
3.4479	2.8608	Inf	Inf
3.5463	2.9548	Inf	Inf
3.6463	2.9642	Inf	Inf
3.7456	2.9780	Inf	Inf
3.8456	2.9694	Inf	Inf
3.9463	2.9934	Inf	Inf
4.0471	3.0286	Inf	Inf
4.0906	3.1279	Inf	Inf
4.1906	3.1954	Inf	Inf
4.2906	3.2497	Inf	Inf
4.3898	3.2047	Inf	Inf
4.4906	3.2770	Inf	Inf
4.5913	3.3273	Inf	Inf
