Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:32:36

Name:	Steel Tensile Test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
0.0092	0.1000	Inf	Inf
0.0122	0.2008	Inf	Inf
0.0160	0.3009	Inf	Inf
0.0244	0.4017	Inf	Inf
0.0412	0.5969	Inf	Inf
0.0649	1.0480	Inf	Inf
0.0809	1.3736	Inf	Inf
0.0962	1.7817	Inf	Inf
0.0977	1.9945	Inf	Inf
0.0992	2.0949	Inf	Inf
0.1030	2.1949	Inf	Inf
0.1038	2.2942	Inf	Inf
0.1061	2.4951	Inf	Inf
0.1168	2.6981	Inf	Inf
0.1305	3.0264	Inf	Inf
0.1473	3.4288	Inf	Inf
0.1565	3.7701	Inf	Inf
0.1664	3.9515	Inf	Inf
0.1679	4.0497	Inf	Inf
0.1717	4.1490	Inf	Inf
0.1817	4.2752	Inf	Inf
0.1840	4.6896	Inf	Inf
0.1855	4.4779	Inf	Inf
0.1969	4.9459	Inf	Inf
0.2000	5.1475	Inf	Inf
0.2130	5.3289	Inf	Inf
0.2183	5.7526	Inf	Inf
0.2244	6.0951	Inf	Inf
0.2298	6.3282	Inf	Inf
0.2328	6.5856	Inf	Inf
0.2336	6.7523	Inf	Inf
0.2481	7.1075	Inf	Inf
0.2488	6.9183	Inf	Inf
0.2603	7.3780	Inf	Inf
0.2649	7.4777	Inf	Inf
0.2679	7.6032	Inf	Inf
0.2733	7.8505	Inf	Inf
0.2801	8.1076	Inf	Inf
0.2809	8.2436	Inf	Inf
0.2817	8.0094	Inf	Inf
0.2840	8.4410	Inf	Inf
0.2901	8.3432	Inf	Inf
0.2939	8.5411	Inf	Inf
0.2985	8.6906	Inf	Inf
0.3015	8.7940	Inf	Inf
0.3099	8.8959	Inf	Inf
0.3122	8.9922	Inf	Inf
0.3168	9.1972	Inf	Inf
0.3191	9.2920	Inf	Inf
0.3275	9.7555	Inf	Inf
0.3282	9.5052	Inf	Inf
0.3374	10.2152	Inf	Inf
0.3504	10.3418	Inf	Inf
0.3588	10.8417	Inf	Inf
0.4565	10.1586	Inf	Inf
0.4839	10.0518	Inf	Inf
0.5595	9.8398	Inf	Inf
0.5939	9.7378	Inf	Inf
0.6564	9.6341	Inf	Inf
0.6969	9.4729	Inf	Inf
0.7160	9.3676	Inf	Inf
0.7229	9.1342	Inf	Inf
0.7282	9.0330	Inf	Inf
0.7404	9.1368	Inf	Inf
0.7442	9.2343	Inf	Inf
0.7931	9.4935	Inf	Inf
0.8931	9.3946	Inf	Inf
0.9114	9.2886	Inf	Inf
0.9541	9.1878	Inf	Inf
0.9938	9.0855	Inf	Inf
0.9954	8.9843	Inf	Inf
0.9969	8.8828	Inf	Inf
1.0060	8.9813	Inf	Inf
1.0335	9.3613	Inf	Inf
1.0870	9.5696	Inf	Inf
1.1350	9.8304	Inf	Inf
1.1755	9.9282	Inf	Inf
1.2648	9.8221	Inf	Inf
1.2785	9.7124	Inf	Inf
1.3144	9.5823	Inf	Inf
1.3480	9.3084	Inf	Inf
1.3549	9.1016	Inf	Inf
1.3556	9.2032	Inf	Inf
1.3679	9.2047	Inf	Inf
1.3824	9.3062	Inf	Inf
1.4182	9.4051	Inf	Inf
1.4602	9.5070	Inf	Inf
1.5014	9.6269	Inf	Inf
1.5900	9.5205	Inf	Inf
1.6098	9.4190	Inf	Inf
1.7098	9.3740	Inf	Inf
1.7480	9.2725	Inf	Inf
1.7594	9.3770	Inf	Inf
1.7808	9.5880	Inf	Inf
1.8236	9.8813	Inf	Inf
1.8831	10.1938	Inf	Inf
1.9838	10.2811	Inf	Inf
2.0487	10.3819	Inf	Inf
2.0945	10.2778	Inf	Inf
2.1014	10.1751	Inf	Inf
2.1151	10.2744	Inf	Inf
2.1258	10.3763	Inf	Inf
2.1533	10.4767	Inf	Inf
2.2037	10.5786	Inf	Inf
2.2556	10.6944	Inf	Inf
2.3563	10.7192	Inf	Inf
2.3617	10.6135	Inf	Inf
2.3678	10.5127	Inf	Inf
2.3731	10.4108	Inf	Inf
2.3792	10.3096	Inf	Inf
2.3869	10.4067	Inf	Inf
2.3907	10.6221	Inf	Inf
2.4457	10.9039	Inf	Inf
2.4945	11.0099	Inf	Inf
2.5945	10.9856	Inf	Inf
2.6113	11.0845	Inf	Inf
2.7105	11.1680	Inf	Inf
